NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,16,0.010059,3,16,0.01846,2,NaN,NaN,1,16,0.010442,3,NaN,NaN,2,16,0.026816,3,16,0.038617,2,16,0.027269,3,16,0.010761,2,16,0.0078481,3,16,0.011926,3,16,0.020512,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,NaN,1,16,0.0047654,3
NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,17,0.0096796,3,17,0.017758,2,NaN,NaN,1,17,0.010311,3,NaN,NaN,2,17,0.026591,3,17,0.037091,2,17,0.026761,3,17,0.010356,2,17,0.0074689,3,17,0.011379,3,17,0.019511,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,NaN,1,17,0.004671,3
NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,18,0.0095306,3,18,0.017583,2,NaN,NaN,1,18,0.010027,3,NaN,NaN,2,18,0.026367,3,18,0.035874,2,18,0.026612,3,18,0.010185,2,18,0.0072878,3,18,0.01116,3,18,0.018657,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,NaN,1,18,0.004651,3
NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,19,0.0094771,3,19,0.017144,2,NaN,NaN,1,19,0.0099974,3,NaN,NaN,2,19,0.02637,3,19,0.034658,2,19,0.026328,3,19,0.0098037,2,19,0.0070008,3,19,0.010714,3,19,0.017967,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,NaN,1,19,0.0046128,3
NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,20,0.0094448,3,20,0.016664,2,NaN,NaN,1,20,0.0098777,3,NaN,NaN,2,20,0.026116,3,20,0.033527,2,20,0.026246,3,20,0.009473,2,20,0.0067289,3,20,0.010487,3,20,0.017286,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,2,NaN,NaN,1,20,0.0046038,3
0,0,0,0,0,0,0,0,0,21,0.0090749,0,21,0.016365,2,0,0,1,21,0.0098083,3,0,0,2,21,0.025902,3,21,0.031131,2,21,0.025997,3,21,0.0093312,2,21,0.0066455,3,21,0.0097964,3,21,0.016204,2,0,0,1,0,0,1,0,0,2,0,0,1,21,0.0045498,3
0,0,0,0,0,0,0,0,0,22,0.0088205,0,22,0.01562,2,0,0,1,22,0.0097431,3,0,0,2,22,0.025641,3,22,0.028535,2,22,0.025917,3,22,0.009241,2,22,0.0063529,3,22,0.0091274,3,22,0.014887,2,0,0,1,0,0,1,0,0,2,0,0,1,22,0.0044925,3
0,0,0,0,0,0,0,0,0,23,0.0085573,0,23,0.014885,2,0,0,1,23,0.0094873,3,0,0,2,23,0.025316,3,23,0.02642,2,23,0.025791,3,23,0.0090607,2,23,0.0058828,3,23,0.0088524,3,23,0.014647,2,0,0,1,0,0,1,0,0,2,0,0,1,23,0.0044362,3
0,0,0,0,0,0,0,0,0,24,0.0081623,0,24,0.014346,2,0,0,1,24,0.0094019,3,0,0,2,24,0.025262,3,24,0.024836,2,24,0.025572,3,24,0.0086825,2,24,0.0054477,3,24,0.0083738,3,24,0.013855,2,0,0,1,0,0,1,0,0,2,0,0,1,24,0.0043778,3
0,0,0,0,0,0,0,0,0,25,0.0078192,0,25,0.013789,2,0,0,1,25,0.0094035,3,0,0,2,25,0.024976,3,0,0,2,25,0.025304,3,25,0.0084644,2,0,0,3,25,0.0075625,3,25,0.013066,2,0,0,1,0,0,1,0,0,2,0,0,1,25,0.0043205,3
